ï»¿article_link_1,article_link_1/_text,article_link_1/_title,article_image,article_image/_alt,article_link_2,article_link_2/_text,article_link_2/_title,sourcepref_value,label,date_value,date_value_dates,snippet_description_1,snippet_description_1_dates,snippet_value_1,snippet_description_2,snippet_value_2,snippet_description_3,snippet_value_3,_PAGE_NUMBER
http://www.dailymail.co.uk/news/article-3334709/We-subcontract-security-countries-Cameron-makes-case-UK-bombing-ISIS-Syrian-heartland.html,,Daily Mail,https://t2.gstatic.com/images?q=tbn:ANd9GcSmC3iOGREawKbkzMm9p83pa_ZYlHntezLEdWDcd18Of_aHT7CtnMqsDidylujWrpdI3k2lFz0,,http://www.dailymail.co.uk/news/article-3334709/We-subcontract-security-countries-Cameron-makes-case-UK-bombing-ISIS-Syrian-heartland.html,David Cameron makes case for bombing ISIS in Syrian after Paris attacks,,Daily Mail,-,â€_7 hours agoâ€_,,Labour is at war today after Jeremy Corbyn's own shadow cabinet threatened to resign en masse unless he backs the Prime Minister's plans to bomb ISIS in Syria. Frontbenchers accused their leader of being 'fundamentally dishonest' and treating them,,...,,,,,1
http://www.theguardian.com/commentisfree/2015/nov/26/the-guardian-view-on-david-camerons-syria-statement-a-short-but-serious-debate-is-required,,The Guardian,https://t3.gstatic.com/images?q=tbn:ANd9GcTQ3Qv6kLK-upjFTY7gHIeWJmVb9_MFgsT2NR5Aq1Cc-0airmHb1rMEtIJWb8TjVDBx1PmsiqU,,http://www.theguardian.com/commentisfree/2015/nov/26/the-guardian-view-on-david-camerons-syria-statement-a-short-but-serious-debate-is-required,The Guardian view on David Cameron's Syria statement: a short but serious ...,,The Guardian,-,â€_19 hours agoâ€_,,"There can be no quarrel, therefore, with",,David Cameron's,"characterisation of the danger represented by Isis, in his response to the Commons foreign affairs committee on the issue of whether or not Britain should join the air campaign in Syria. Isis is",...,,,1
http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12019854/Jeremy-Corbyn-facing-resignations-as-shadow-cabinet-back-David-Cameron-air-strikes.html,,Telegraph.co.uk,https://t2.gstatic.com/images?q=tbn:ANd9GcQ_fLEI8YcsmIUZN1PQGDHGuhRd3VcSpWjb_0WAphlbgXq7vAkUZynqT8K6-_u1WfYPkZsvANhi,,http://www.telegraph.co.uk/news/worldnews/middleeast/syria/12019854/Jeremy-Corbyn-facing-resignations-as-shadow-cabinet-back-David-Cameron-air-strikes.html,Jeremy Corbyn facing resignations as shadow cabinet back David Cameron air strikes,,Telegraph.co.uk,-,â€_17 hours agoâ€_,,"Hilary Benn, the shadow foreign secretary, last night openly defied the Labour leader and said that the case for war made by Mr",,Cameron,"was â€œcompellingâ€ù. In a fiery meeting of the shadow cabinet, around 15 of Mr Corbyn's ministers said that they back ...",,,,1
http://www.theguardian.com/commentisfree/2015/nov/27/david-cameron-syria-macho-foolish-labour-jeremy-corbyn,,The Guardian,https://t1.gstatic.com/images?q=tbn:ANd9GcRr6jdzQE66sqebOF6o80emdSgDIFmSDnPosEPlJgJpi8LS411NzsQauFx06MQtZqEfg041ghzM,,http://www.theguardian.com/commentisfree/2015/nov/27/david-cameron-syria-macho-foolish-labour-jeremy-corbyn,"Cameron's drive to bomb Syria is macho, foolish and must be stopped",,The Guardian,-,â€_4 hours agoâ€_,,Jeremy Corbyn's challenge to,,David Cameron,"on the bombing of Syria is unanswerable, and every Labour MP knows it. So too is his explanation of his position in his letter to his party. A British prime minister's statement on the eve of war should never",...,,,1
http://www.telegraph.co.uk/news/worldnews/europe/turkey/12019698/David-Cameron-has-made-the-case-for-action-in-Syria.html,,Telegraph.co.uk,https://t1.gstatic.com/images?q=tbn:ANd9GcSpmZPEbpGe55gMEkSD2pyXXQhvjFBYRk2Dv7ZeqImmACsxSNSM4Xg5_WM2AYmevsIsQVwmiT4J,,http://www.telegraph.co.uk/news/worldnews/europe/turkey/12019698/David-Cameron-has-made-the-case-for-action-in-Syria.html,David Cameron has made the case for action in Syria,,Telegraph.co.uk,-,â€_8 hours agoâ€_,,"Last September, the House of Commons voted by an overwhelming majority of 480 to deploy the RAF to attack Isil targets in Iraq. But even though the organisation's main base is in war-ravaged Syria,",,David Cameron,has felt reluctant to extend operations ...,,,,1
http://www.bbc.com/news/uk-politics-34927939,,BBC News,https://t3.gstatic.com/images?q=tbn:ANd9GcQMmHr8CqwFTIsIISoaF5wNLwid6AXHSBA8LSNnEK6ZBPeVdOvUWEb33xtigI5XE0gQD0_7Teg,,http://www.bbc.com/news/uk-politics-34927939,David Cameron says bombing IS in Syria will make UK 'safer',,BBC News,-,â€_22 hours agoâ€_,,,,David Cameron,"says launching UK air strikes against Islamic State militants in Syria will ""make us safer"". The prime minister denied claims it would make the UK a bigger target for terror attacks, as he made the case for military action, in the Commons",...,,,1
http://www.theguardian.com/politics/2015/nov/26/david-cameron-persuading-labour-mps-back-syria-airstrikes,,The Guardian,https://t1.gstatic.com/images?q=tbn:ANd9GcQ_Q3RJgNdvzFX4QtDJ431OVDKYzh3j-2xJotsG10WWELFnfwq_GH6E0hi3r9X0xFWrtmiBB4jb,,http://www.theguardian.com/politics/2015/nov/26/david-cameron-persuading-labour-mps-back-syria-airstrikes,David Cameron starts task of persuading Labour MPs to back Syria airstrikes,,The Guardian,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,"has begun the delicate process of persuading sceptical Labour MPs to back airstrikes in Syria, saying the UK was already facing the threat of mass casualties from Isis and arguing that Britain could not outsource its security to allies",...,,,1
http://www.theguardian.com/politics/2015/nov/26/david-cameron-publishes-case-for-syria-airstrikes,,The Guardian,https://t1.gstatic.com/images?q=tbn:ANd9GcSQmBeJlElOs_Mfrhc_ByjBjUHq7gw8cwne4dWGZUpGNBE1TuhpWHcfQ-knolEIsFuTrUKuuahS,,http://www.theguardian.com/politics/2015/nov/26/david-cameron-publishes-case-for-syria-airstrikes,David Cameron puts case for Syria airstrikes to MPs,,The Guardian,-,"â€_Nov 26, 2015â€_",1.4485E+12,,,David Cameron,"has urged MPs to back UK airstrikes against Islamic State in Syria, saying that the terrorist organisation is using the sanctuary of northern Syria to launch plots with deadly intent against the British people. In a statement to the",...,,,1
http://www.independent.co.uk/voices/comment/air-strikes-in-syria-david-cameron-strategy-can-only-repeat-our-mistakes-in-iraq-and-afghanistan-a6750601.html,,The Independent,https://t1.gstatic.com/images?q=tbn:ANd9GcRR1f7hOH2GrykoAorEx3i22NKteZ7C6PUA_QBcpgdnAsdn57GTg16B1kBVKjI2BSwaeQhtBZ2p,,http://www.independent.co.uk/voices/comment/air-strikes-in-syria-david-cameron-strategy-can-only-repeat-our-mistakes-in-iraq-and-afghanistan-a6750601.html,Air strikes in Syria: David Cameron's strategy can only repeat our mistakes in ...,,The Independent,-,â€_19 hours agoâ€_,,,,David Cameron's,"plan for joining the war in Syria is a worrying document, full of wishful thinking about the political and military situation on the ground. It is a recipe for repeating past failures in Iraq, Afghanistan and Libya, by misjudging the",...,,,1
http://www.independent.co.uk/news/uk/politics/syria-air-strikes-debate-david-cameron-challenged-over-magical-70000-moderates-figure-a6750161.html,,The Independent,https://t2.gstatic.com/images?q=tbn:ANd9GcRM4h8VU1KHHEtXSjguJTpB7rZCGevdDpuI-8kOJys4UvIXRhTs1WO1EyCsF7q85xe1LAiKhmjH,,http://www.independent.co.uk/news/uk/politics/syria-air-strikes-debate-david-cameron-challenged-over-magical-70000-moderates-figure-a6750161.html,Syria air strikes debate: David Cameron challenged over 'magical' 70000 ...,,The Independent,-,"â€_Nov 26, 2015â€_",1.4485E+12,A senior Conservative MP has challenged,,David Cameron,"over his ""magical"" claim that there are 70,000 moderate fighters in Syria who could seize Isis-held territory following a bombing raid on the Islamic extremists in the north of the country. The",...,,,1
