ï»¿article_link_1,article_link_1/_text,article_link_1/_title,article_image,article_image/_alt,article_link_2,article_link_2/_text,article_link_2/_title,sourcepref_value,label,date_value,date_value_dates,snippet_description,snippet_description_dates,snippet_value,_PAGE_NUMBER
http://www.belfasttelegraph.co.uk/news/uk/jeremy-corbyn-facing-free-vote-pressure-over-syria-airstrikes-34238893.html,,Belfast Telegraph,https://t3.gstatic.com/images?q=tbn:ANd9GcSbUwgwpxFUid6BPmNgSuxbqvEITliy99EFeQDUJwadGAC_JSCyisIHZkzFsTOFjAyJUCRA3zFQ,,http://www.belfasttelegraph.co.uk/news/uk/jeremy-corbyn-facing-free-vote-pressure-over-syria-airstrikes-34238893.html,Jeremy Corbyn facing free vote pressure over Syria airstrikes,,Belfast Telegraph,-,â€_22 minutes agoâ€_,,"Jeremy Corbyn is facing intense pressure to give Labour MPs a free vote on air strikes in Syria, with his shadow cabinet openly split on whether to back David Cameron's call for military action. Deputy leader Tom Watson became the latest leading figure",,...,1
http://www.independent.co.uk/news/people/james-obrien-warns-corbynistas-jeremy-corbyn-is-not-leading-the-labour-party-after-syria-strikes-a6751616.html,,The Independent,https://t3.gstatic.com/images?q=tbn:ANd9GcR20EYUjhz1b5B52ss6-1bzQaAE5i-5D_2iorifA-Fd6LQSWwR9CEr4tNvTSRDV_wEfmsYmlM0,,http://www.independent.co.uk/news/people/james-obrien-warns-corbynistas-jeremy-corbyn-is-not-leading-the-labour-party-after-syria-strikes-a6751616.html,James O'Brien warns Jeremy Corbyn has failed to lead Labour party after Syria ...,,The Independent,-,â€_59 minutes agoâ€_,,James O'Brien has accused Jeremy Corbyn of failing to lead Labour after his opposition to military action in Syria sparked a major fallout between the leader and his party. Labour has been hit by turbulence after Mr Corbyn sent a letter to MPs at the,,...,1
http://www.belfasttelegraph.co.uk/video-news/video-a-labour-revolt-corbyns-syria-conundrum-in-60-seconds-34239794.html,,Belfast Telegraph,https://t1.gstatic.com/images?q=tbn:ANd9GcREQqE3Me1r0zY3lCZr9bI-hXibQzfDldH7AOPSDeaIUOtvAfaSu4itCxwzNDIuoLhYhRbBkjU,,http://www.belfasttelegraph.co.uk/video-news/video-a-labour-revolt-corbyns-syria-conundrum-in-60-seconds-34239794.html,Video: A Labour revolt? Corbyn's Syria conundrum in 60 seconds,,Belfast Telegraph,-,â€_2 hours agoâ€_,,"Jeremy Corbyn faces potential resignations from his party over his opposition to bombing in Syria. The Labour leader underlined his reluctance to support military airstrikes against the Islamic State, despite the recent atrocities in Paris. After the",,...,1
http://www.telegraph.co.uk/news/politics/labour/12020549/Jeremy-Corbyns-shadow-cabinet-must-make-it-clear-either-he-resigns-or-they-do.html,,Telegraph.co.uk,https://t2.gstatic.com/images?q=tbn:ANd9GcRN5AMszb8qoSQHSWPcpbCtpkDc31fB23ZtmH6ZbSjPQd_yGoQohb6dY3kZgXv0EYb_Le3enIGP,,http://www.telegraph.co.uk/news/politics/labour/12020549/Jeremy-Corbyns-shadow-cabinet-must-make-it-clear-either-he-resigns-or-they-do.html,"Jeremy Corbyn's shadow cabinet must make it clear: either he resigns, or they do",,Telegraph.co.uk,-,â€_3 hours agoâ€_,,"This morning shadow foreign secretary Hilary Benn was on the Today programme. He was asked if he agreed with his leader Jeremy Corbyn that David Cameron had failed to set out the case for military intervention in Syria. No, he replied, he didn't.",,,1
http://www.theguardian.com/media/greenslade/2015/nov/27/behind-the-anti-corbyn-hysteria-uk-newspapers-run-measured-editorials,,The Guardian,https://t1.gstatic.com/images?q=tbn:ANd9GcTp3IYrXkiYGOk-GAGmyW0mov4IUQZENHQ-Efwe0g96UJjJvGnuBGT3gcGGlqPnYCwDNYaZufM,,http://www.theguardian.com/media/greenslade/2015/nov/27/behind-the-anti-corbyn-hysteria-uk-newspapers-run-measured-editorials,Beyond the anti-Corbyn hysteria UK newspapers run measured editorials,,The Guardian,-,â€_4 hours agoâ€_,,"â€œLabour at warâ€ù about whether to go to war, said Friday's front page headlines in the Times, Daily Telegraph and the Independent. â€œLabour in Syria turmoil as PM makes the case for warâ€ù, said the Guardian. Similarly, i splashed on â€œLabour torn over UK",,...,1
http://mashable.com/2015/11/27/jeremy-corbyn-labour-rift/,,Mashable,https://t3.gstatic.com/images?q=tbn:ANd9GcQpmqasFIvAXJWCW2crPFxsl1l5v7a6gElsiFALMF4Hbc-Ouua3QIv1p-wCQigZj0cSXsZ27Q63,,http://mashable.com/2015/11/27/jeremy-corbyn-labour-rift/,Britain's Labour Party faces big rift over airstrikes in Syria,,Mashable,-,â€_5 hours agoâ€_,,"Jeremy Corbyn responds after David Cameron's statement in the House of Commons where he set out his case for the extension of airstrikes into Syria on Nov. 26, 2015. Image: PA Wire/Associated Press. Photo. By Liza Hearon 2 hours ago. LONDON ...",,,1
http://english.ahram.org.eg/NewsContent/2/8/171804/World/Region/Cameron-makes-case-for-Britain-to-join-Syria-air-s.aspx,,Ahram Online,https://t1.gstatic.com/images?q=tbn:ANd9GcRAqejWDDyskF5k0zHGLqBp3jzggladthB6K1u4Ql-YIGPDFXBgqvrH19irVbVsBcK9XL77jZg,,http://english.ahram.org.eg/NewsContent/2/8/171804/World/Region/Cameron-makes-case-for-Britain-to-join-Syria-air-s.aspx,Cameron makes case for Britain to join Syria air strikes,,Ahram Online,-,â€_6 hours agoâ€_,,"Prime Minister David Cameron on Thursday argued his case to MPs for Britain to join air strikes in Syria ahead of a vote expected at a later date, with signs of opposition weakening after the Paris attacks. ""If we won't act now, when our friend and",,...,1
http://uk.reuters.com/article/2015/11/27/mideast-crisis-syria-britain-idUKKBN0TG0I020151127,,Reuters UK,https://t3.gstatic.com/images?q=tbn:ANd9GcSQxvr3nwpXRm2kDWs1L3vJPTuQVq6eOxaftgyD2TiO8WehIxqy_dZUBkxKAJ7mWwOT5OxAIVQ,,http://uk.reuters.com/article/2015/11/27/mideast-crisis-syria-britain-idUKKBN0TG0I020151127,Senior Labour members may quit over Syria action - BBC,,Reuters UK,-,â€_7 hours agoâ€_,,"LONDON Several senior members of Britain's main opposition Labour Party may resign if they are forced to vote in line with their leader's view that the country should not extend air strikes against Islamic State to Syria, the BBC reported on Friday",,...,1
,,,,,http://www.heraldscotland.com/news/14107149.Air_strikes_only_add_to_Syrian_refugee_plight_and_fail_to_stop_Islamic_state/,Air strikes only add to Syrian refugee plight and fail to stop Islamic state,,Herald Scotland,-,â€_7 hours agoâ€_,,"Let me begin this column by saying that I like any other right thinking person, would welcome the elimination of the threat posed by the Islamic State (IS) group. Indeed I have always held the view that from an intelligence perspective the gloves need",,...,1
http://jamaica-gleaner.com/article/world-news/20151127/cameron-uk-must-attack-syria-deny-group-safe-haven,,Jamaica Gleaner,https://t1.gstatic.com/images?q=tbn:ANd9GcR3fGPlbM-1DFf7S_FqHKSLCjf-7mNBBuK3ZK-4hG7l8e0yyA3LgGM7-OpeG-KdvfcaTkashEE,,http://jamaica-gleaner.com/article/world-news/20151127/cameron-uk-must-attack-syria-deny-group-safe-haven,Cameron: UK must attack IS in Syria to deny group safe haven,,Jamaica Gleaner,-,â€_10 hours agoâ€_,,"US President Barack Obama (right) walks with British Prime Minister David Cameron at the G-20 summit in Antalya, Turkey, recently. LONDON (AP): Prime Minister David Cameron tried to persuade reluctant lawmakers to back airstrikes on the Islamic State ...",,,1
