Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,Extended Referer,SessionID,User Agent,Extended User Agent,Tags,IP Address,Longitude,Latitude,Country,City,State/Region,Postal,What is your age?,What is your gender?,Other - Write In:What is your gender?,Which of the following best describes your race?,Other - Write In:Which of the following best describes your race?,Treatment/Control,,Please watch this short 2-minute video. You will be able to access the next question in 2 minutes.,Please watch this short 2-minute video. You will be able to access the next question in 2 minutes.,"On a scale from 0-100, how interested in politics are you?"
1,13/11/15 14:00,13/11/15 14:04,Complete,,,,English,,,1447705349_564a3b05a69640.28097948,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,82.3.209.42,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Control,,,,60
2,13/11/15 14:03,13/11/15 14:07,Complete,,,,English,,,1447705349_564a3b05a8a004.01173505,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,82.13.160.180,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,Asian,,Treatment,,,,78
3,13/11/15 14:04,13/11/15 14:07,Complete,,,,English,http://m.facebook.com,http://m.facebook.com,1447705349_564a3b05ac26f5.20260329,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobil","Mozilla/5.0 (iPhone; CPU iPhone OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Mobile/13C71 [FBAN/MessengerForiOS;FBAV/48.0.0.20.47;FBBV/17291106;FBDV/iPhone7,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/9.2;FBSS/2; FBCR/vodafoneUK;FBID/phone;FBLC/en_GB;FBOP/5]",,82.3.209.42,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Control,,,,70
4,13/11/15 14:20,13/11/15 14:24,Complete,,,,English,,,1447705349_564a3b05ae9d52.25826487,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9",,152.78.1.66,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,Hispanic/Latino,,Treatment,,,,80
5,13/11/15 14:20,13/11/15 14:39,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05b10175.99957738,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safa","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,82.13.160.180,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Treatment,,,,74
6,13/11/15 15:03,13/11/15 15:06,Complete,,,,English,,,1447705349_564a3b05b3ace4.41633603,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Versi","Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1",,82.20.238.188,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Female,,White,,Control,,,,88
7,13/11/15 15:31,13/11/15 15:36,Complete,,,,English,,,1447705349_564a3b05b6b102.88448605,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safar","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,81.100.241.157,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,Control,,,,100
8,13/11/15 15:37,13/11/15 15:40,Complete,,,,English,https://www.facebook.com/,https://www.facebook.com/,1447705349_564a3b05b91e56.28285359,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7",,86.135.100.88,-1.12440002,51.24869919,United Kingdom,Basingstoke,F2,RG22,18-24,Male,,White,,Control,,,,45
9,13/11/15 15:40,13/11/15 15:41,Partial,,,,English,http://m.facebook.com,http://m.facebook.com,1447705349_564a3b05bc7940.63403945,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile","Mozilla/5.0 (iPhone; CPU iPhone OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12F70 [FBAN/FBIOS;FBAV/43.0.0.26.314;FBBV/17000587;FBDV/iPhone5,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/8.3;FBSS/2; FBCR/vodafoneUK;FBID/phone;FBLC/en_GB;FBOP/5]",,152.78.0.199,-1.399999976,50.90000153,United Kingdom,Southampton,M4,SO15,18-24,Male,,White,,,,,,
10,13/11/15 15:55,13/11/15 15:58,Complete,,,,English,http://m.facebook.com/,http://m.facebook.com/,1447705349_564a3b05be67f7.45306588,"Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.236; wv) AppleWebKit/537.36 (KHTML, like Gec","Mozilla/5.0 (Linux; Android 5.1.1; D5803 Build/23.4.A.1.236; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/46.0.2490.76 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/53.0.0.29.18;]",,94.15.119.251,0.25,50.79999924,United Kingdom,Eastbourne,E2,BN21,25-34,Female,,White,,Control,,,,50
