,country,year,Wbcode,oecd,guerilla,overall.conflict,riots,strikes,demos,assassinations,internet,computers,radios,tvs,newspapers,landlines,mobiles
5004,France,1815,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5005,France,1816,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,France,1817,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5007,France,1818,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5008,France,1819,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5009,France,1820,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5010,France,1821,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5011,France,1822,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5012,France,1823,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5013,France,1824,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5014,France,1825,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5015,France,1826,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5016,France,1827,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5017,France,1828,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5018,France,1829,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5019,France,1830,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5020,France,1831,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5021,France,1832,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5022,France,1833,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5023,France,1834,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5024,France,1835,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5025,France,1836,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5026,France,1837,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5027,France,1838,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5028,France,1839,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5029,France,1840,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5030,France,1841,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5031,France,1842,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5032,France,1843,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5033,France,1844,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5034,France,1845,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5035,France,1846,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5036,France,1847,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5037,France,1848,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5038,France,1849,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5039,France,1850,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5040,France,1851,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5041,France,1852,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5042,France,1853,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5043,France,1854,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5044,France,1855,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5045,France,1856,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5046,France,1857,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5047,France,1858,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5048,France,1859,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5049,France,1860,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5050,France,1861,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5051,France,1862,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5052,France,1863,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5053,France,1864,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5054,France,1865,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5055,France,1866,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5056,France,1867,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5057,France,1868,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5058,France,1869,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5059,France,1870,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5060,France,1871,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5061,France,1872,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5062,France,1873,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5063,France,1874,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5064,France,1875,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5065,France,1876,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5066,France,1877,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5067,France,1878,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5068,France,1879,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5069,France,1880,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5070,France,1881,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5071,France,1882,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5072,France,1883,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5073,France,1884,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5074,France,1885,FRA,OECD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
