"","country","year","Wbcode","oecd","guerilla","overall.conflict","riots","strikes","demos","assassinations","internet","computers","radios","tvs","newspapers","landlines","mobiles"
"1","Afghanistan",1919,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"2","Afghanistan",1920,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"3","Afghanistan",1921,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"4","Afghanistan",1922,"AFG","Non-OECD",1,1250,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"5","Afghanistan",1923,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"6","Afghanistan",1924,"AFG","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"7","Afghanistan",1925,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"8","Afghanistan",1926,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"9","Afghanistan",1927,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"10","Afghanistan",1928,"AFG","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"11","Afghanistan",1929,"AFG","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"12","Afghanistan",1930,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"13","Afghanistan",1931,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"14","Afghanistan",1932,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"15","Afghanistan",1933,"AFG","Non-OECD",0,625,0,0,0,2,NA,NA,NA,NA,0,NA,NA
"16","Afghanistan",1934,"AFG","Non-OECD",0,312,0,0,0,1,NA,NA,NA,NA,0,NA,NA
"17","Afghanistan",1935,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"18","Afghanistan",1936,"AFG","Non-OECD",0,250,0,1,0,0,NA,NA,NA,NA,0,NA,NA
"19","Afghanistan",1937,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"20","Afghanistan",1938,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"21","Afghanistan",1939,"AFG","Non-OECD",0,1875,0,0,0,0,NA,NA,NA,NA,0,NA,NA
"22","Afghanistan",1946,"AFG","Non-OECD",0,250,0,0,0,0,NA,NA,4e-04,NA,0,0.00025,NA
"23","Afghanistan",1947,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,5e-04,NA,0,0.00027,NA
"24","Afghanistan",1948,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,5e-04,NA,0,3e-04,NA
"25","Afghanistan",1949,"AFG","Non-OECD",0,250,0,0,0,0,NA,NA,5e-04,NA,0,0.00032,NA
"26","Afghanistan",1950,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,6e-04,NA,0,0.00034,NA
"27","Afghanistan",1951,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,6e-04,NA,5e-04,0.00036,NA
"28","Afghanistan",1952,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,7e-04,NA,0.001,0.00045,NA
"29","Afghanistan",1953,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,7e-04,NA,0.0015,0.00046,NA
"30","Afghanistan",1954,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,7e-04,NA,0.002,0.00047,NA
"31","Afghanistan",1955,"AFG","Non-OECD",0,312,1,0,0,0,NA,NA,8e-04,NA,0.0025,0.00046,NA
"32","Afghanistan",1956,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,9e-04,NA,0.003,0.00048,NA
"33","Afghanistan",1957,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0011,NA,0.0035,5e-04,NA
"34","Afghanistan",1958,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0013,NA,0.004,0.00053,NA
"35","Afghanistan",1959,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0015,NA,0.0045,0.00055,NA
"36","Afghanistan",1960,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0018,NA,0.005,0.00057,NA
"37","Afghanistan",1961,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0021,NA,0.0051,0.00061,NA
"38","Afghanistan",1962,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0025,NA,0.0053,0.00064,NA
"39","Afghanistan",1963,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.003,NA,0.0054,0.00067,NA
"40","Afghanistan",1964,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0034,NA,0.0056,0.00063,NA
"41","Afghanistan",1965,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0038,NA,0.0058,0.00064,NA
"42","Afghanistan",1966,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0042,NA,0.006,0.00067,NA
"43","Afghanistan",1967,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0045,NA,0.007,0.00069,NA
"44","Afghanistan",1968,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0049,NA,0.0066,7e-04,NA
"45","Afghanistan",1969,"AFG","Non-OECD",0,0,0,0,0,0,NA,NA,0.0052,NA,0.0063,0.00094,NA
"46","Afghanistan",1970,"AFG","Non-OECD",0,375,0,0,1,0,NA,NA,0.0056,NA,0.006,0.00119,NA
